epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.4989,1.23551,0.5008,1.35027,0.98984,0.99376,0.99369,0.7294,1.03352,0.41239,1.35582,0.00326923,0.00326923,0.00326923
2,59.0084,1.04717,0.45368,1.24037,0.99161,0.99254,0.9937,0.73403,1.03639,0.39747,1.35763,0.00656988,0.00656988,0.00656988
3,86.8709,1.04718,0.45278,1.24118,0.99532,0.9904,0.99433,0.69959,1.10614,0.45715,1.40366,0.00983753,0.00983753,0.00983753
4,114.256,1.06103,0.46617,1.24476,0.99457,0.9892,0.99422,0.71067,1.09263,0.43018,1.38744,0.0098515,0.0098515,0.0098515
5,141.583,1.05415,0.46437,1.24854,0.99519,0.9922,0.99427,0.72566,1.04998,0.42222,1.37128,0.009802,0.009802,0.009802
6,169.07,1.05278,0.4614,1.24158,0.99293,0.991,0.99478,0.72209,1.04525,0.40256,1.35871,0.0097525,0.0097525,0.0097525
7,196.777,1.0421,0.45578,1.23875,0.98983,0.99304,0.99372,0.72008,1.04395,0.40182,1.35867,0.009703,0.009703,0.009703
8,224.661,1.03665,0.447,1.23544,0.99097,0.98726,0.99442,0.73064,1.04965,0.41271,1.36253,0.0096535,0.0096535,0.0096535
9,252.409,1.04389,0.44857,1.23673,0.99602,0.9898,0.994,0.7292,1.0614,0.40581,1.36475,0.009604,0.009604,0.009604
10,279.958,1.03773,0.4508,1.23767,0.99698,0.99064,0.99427,0.73091,1.03478,0.40051,1.35872,0.0095545,0.0095545,0.0095545
11,307.283,1.03847,0.44093,1.23906,0.99755,0.9922,0.99425,0.7277,1.06599,0.40334,1.36785,0.009505,0.009505,0.009505
12,334.641,1.02813,0.43901,1.23476,0.99394,0.991,0.99431,0.72909,1.04464,0.39832,1.36154,0.0094555,0.0094555,0.0094555
13,361.906,1.03315,0.44167,1.23321,0.99724,0.9856,0.9944,0.71219,1.10897,0.42322,1.40984,0.009406,0.009406,0.009406
14,389.329,1.01771,0.43218,1.22419,0.99637,0.98694,0.99487,0.73598,1.04329,0.4029,1.35842,0.0093565,0.0093565,0.0093565
15,417.045,1.03594,0.43884,1.24015,0.99336,0.98783,0.99372,0.72334,1.05832,0.40552,1.3733,0.009307,0.009307,0.009307
16,444.538,1.0209,0.43265,1.23141,0.99162,0.99331,0.99418,0.73745,1.03825,0.38145,1.35428,0.0092575,0.0092575,0.0092575
17,472.224,1.02701,0.42943,1.23591,0.99516,0.98713,0.99443,0.72817,1.03999,0.3984,1.35673,0.009208,0.009208,0.009208
18,500.009,1.01968,0.4312,1.2226,0.99571,0.9934,0.9945,0.73067,1.0438,0.39399,1.35916,0.0091585,0.0091585,0.0091585
19,527.573,1.01391,0.42374,1.22766,0.99358,0.9934,0.99411,0.73163,1.05804,0.39381,1.36725,0.009109,0.009109,0.009109
20,555.082,1.02139,0.42816,1.23136,0.99493,0.9898,0.9945,0.72864,1.04643,0.38107,1.36071,0.0090595,0.0090595,0.0090595
21,582.558,1.02046,0.42864,1.22599,0.99337,0.98817,0.99375,0.73204,1.0443,0.39978,1.36676,0.00901,0.00901,0.00901
22,609.923,1.01302,0.42809,1.22943,0.99437,0.991,0.99419,0.74045,1.03734,0.37993,1.34358,0.0089605,0.0089605,0.0089605
23,637.639,1.00835,0.42362,1.22786,0.99578,0.99017,0.99413,0.73327,1.02985,0.3813,1.35303,0.008911,0.008911,0.008911
24,665.157,1.00684,0.42104,1.21985,0.99639,0.99255,0.99443,0.72971,1.04903,0.38069,1.37324,0.0088615,0.0088615,0.0088615
25,692.696,1.01347,0.41946,1.23799,0.99339,0.99114,0.99371,0.72892,1.06718,0.38851,1.38865,0.008812,0.008812,0.008812
26,720.164,1.01317,0.42136,1.22788,0.99518,0.99163,0.99484,0.73903,1.04155,0.38238,1.36121,0.0087625,0.0087625,0.0087625
27,747.606,1.00142,0.41828,1.21922,0.99368,0.988,0.99406,0.7187,1.06486,0.40257,1.37623,0.008713,0.008713,0.008713
28,775.117,1.00504,0.42001,1.22273,0.9958,0.99511,0.99413,0.72936,1.0332,0.37966,1.35425,0.0086635,0.0086635,0.0086635
29,802.653,1.00555,0.41724,1.22458,0.9946,0.99398,0.99421,0.73643,1.04351,0.37771,1.35982,0.008614,0.008614,0.008614
30,830.11,1.0007,0.41417,1.22558,0.99638,0.99121,0.9943,0.74246,1.0514,0.38138,1.35583,0.0085645,0.0085645,0.0085645
31,857.87,1.00673,0.41676,1.22871,0.99311,0.9922,0.9945,0.72691,1.06391,0.37767,1.38267,0.008515,0.008515,0.008515
32,885.307,0.99719,0.41473,1.21608,0.99458,0.99127,0.99412,0.7234,1.06254,0.38872,1.37894,0.0084655,0.0084655,0.0084655
33,912.703,0.99728,0.41361,1.20987,0.99758,0.98722,0.99394,0.73306,1.04239,0.38526,1.34823,0.008416,0.008416,0.008416
34,940.212,0.99945,0.41419,1.22056,0.99331,0.9934,0.99416,0.7418,1.0347,0.37648,1.35281,0.0083665,0.0083665,0.0083665
35,967.88,0.99993,0.41435,1.2163,0.9941,0.9904,0.9943,0.7275,1.07266,0.37787,1.38677,0.008317,0.008317,0.008317
36,995.43,0.99949,0.4126,1.2193,0.99518,0.99005,0.99378,0.73526,1.03832,0.37919,1.35652,0.0082675,0.0082675,0.0082675
37,1023.37,0.99258,0.41037,1.22008,0.99325,0.994,0.9943,0.74315,1.03303,0.37277,1.34825,0.008218,0.008218,0.008218
38,1051.66,0.99797,0.40993,1.21976,0.99395,0.9853,0.99379,0.71345,1.06822,0.3925,1.39902,0.0081685,0.0081685,0.0081685
39,1079.33,0.98698,0.40511,1.21635,0.99339,0.9958,0.99449,0.74061,1.04109,0.36053,1.36534,0.008119,0.008119,0.008119
40,1107.11,0.98661,0.408,1.20697,0.99435,0.9922,0.99431,0.73465,1.06598,0.37248,1.3659,0.0080695,0.0080695,0.0080695
41,1134.87,0.98804,0.40499,1.20868,0.99399,0.99171,0.99433,0.74073,1.0381,0.3749,1.34823,0.00802,0.00802,0.00802
42,1162.73,0.98871,0.40663,1.21668,0.99299,0.991,0.99445,0.74323,1.04627,0.36723,1.35098,0.0079705,0.0079705,0.0079705
43,1190.82,0.98807,0.40613,1.21617,0.99638,0.99166,0.99467,0.73297,1.0424,0.37779,1.37353,0.007921,0.007921,0.007921
44,1218.59,0.99094,0.40548,1.21549,0.99454,0.9886,0.99458,0.72955,1.06355,0.37968,1.3834,0.0078715,0.0078715,0.0078715
45,1246.13,0.97952,0.40013,1.20377,0.99394,0.9916,0.99413,0.73855,1.03703,0.37133,1.34819,0.007822,0.007822,0.007822
46,1273.55,0.99222,0.40524,1.21602,0.99467,0.9892,0.9945,0.73855,1.04005,0.36626,1.36467,0.0077725,0.0077725,0.0077725
47,1300.95,0.9825,0.4026,1.21088,0.99234,0.9934,0.99429,0.74235,1.05102,0.37024,1.36194,0.007723,0.007723,0.007723
48,1328.35,0.98413,0.40314,1.21275,0.9956,0.994,0.99421,0.74284,1.05278,0.36905,1.37338,0.0076735,0.0076735,0.0076735
49,1355.87,0.98578,0.40512,1.20445,0.99639,0.99372,0.99401,0.74509,1.03091,0.36827,1.35616,0.007624,0.007624,0.007624
50,1383.57,0.97844,0.39938,1.20932,0.99281,0.9916,0.99386,0.74684,1.04016,0.36353,1.34979,0.0075745,0.0075745,0.0075745
51,1411.37,0.9818,0.39963,1.20947,0.99399,0.99296,0.99425,0.73327,1.03426,0.37526,1.34573,0.007525,0.007525,0.007525
52,1438.8,0.98125,0.40299,1.20623,0.99657,0.9886,0.9943,0.73804,1.04823,0.37244,1.37255,0.0074755,0.0074755,0.0074755
53,1466.18,0.97058,0.39545,1.2062,0.99669,0.9844,0.99426,0.72782,1.06216,0.37788,1.39923,0.007426,0.007426,0.007426
54,1493.67,0.98146,0.39983,1.2117,0.99101,0.99141,0.994,0.73404,1.03596,0.36299,1.35476,0.0073765,0.0073765,0.0073765
55,1521.33,0.96938,0.39186,1.20984,0.99484,0.9916,0.99403,0.73761,1.03801,0.36153,1.34796,0.007327,0.007327,0.007327
56,1548.79,0.98119,0.40156,1.20514,0.9928,0.99298,0.99417,0.72763,1.06738,0.37023,1.39576,0.0072775,0.0072775,0.0072775
57,1576.33,0.97556,0.39627,1.19619,0.99759,0.9941,0.99451,0.7392,1.02668,0.35873,1.34394,0.007228,0.007228,0.007228
58,1603.79,0.97233,0.39917,1.20556,0.9934,0.99318,0.99454,0.74693,1.03511,0.36551,1.36619,0.0071785,0.0071785,0.0071785
59,1631.68,0.96387,0.39089,1.20316,0.99638,0.9895,0.99409,0.74522,1.03395,0.35901,1.35099,0.007129,0.007129,0.007129
60,1659.5,0.97009,0.39389,1.20297,0.99211,0.9934,0.9944,0.74358,1.03954,0.36537,1.35085,0.0070795,0.0070795,0.0070795
61,1687.45,0.96763,0.39256,1.20247,0.99459,0.99249,0.99444,0.74274,1.04138,0.36142,1.34912,0.00703,0.00703,0.00703
62,1714.84,0.96201,0.39152,1.19891,0.99759,0.99127,0.99439,0.74198,1.03404,0.35916,1.34956,0.0069805,0.0069805,0.0069805
63,1742.3,0.96044,0.38892,1.19521,0.994,0.99416,0.99439,0.73685,1.02992,0.3647,1.34965,0.006931,0.006931,0.006931
64,1769.79,0.96369,0.39117,1.20318,0.99548,0.9922,0.99444,0.7307,1.04627,0.35905,1.36087,0.0068815,0.0068815,0.0068815
65,1797.36,0.96963,0.3927,1.19949,0.99639,0.994,0.99448,0.74533,1.03143,0.35869,1.35627,0.006832,0.006832,0.006832
66,1824.91,0.95697,0.38865,1.19732,0.99359,0.9904,0.99401,0.74725,1.03,0.35367,1.3547,0.0067825,0.0067825,0.0067825
67,1852.52,0.96882,0.38942,1.20103,0.99435,0.991,0.99422,0.74564,1.02411,0.35646,1.34842,0.006733,0.006733,0.006733
68,1880,0.95441,0.38716,1.19494,0.99339,0.99149,0.99415,0.74897,1.02999,0.35323,1.34571,0.0066835,0.0066835,0.0066835
69,1907.63,0.96237,0.3897,1.19188,0.99219,0.99098,0.99394,0.73976,1.04145,0.35859,1.3608,0.006634,0.006634,0.006634
70,1935.15,0.95615,0.38463,1.19836,0.99163,0.99445,0.99386,0.74801,1.03552,0.35821,1.35306,0.0065845,0.0065845,0.0065845
71,1962.58,0.96214,0.39022,1.1993,0.9934,0.9932,0.99396,0.74017,1.03824,0.36332,1.3498,0.006535,0.006535,0.006535
72,1989.94,0.95167,0.38292,1.19361,0.99579,0.99391,0.99411,0.74251,1.02888,0.34933,1.34902,0.0064855,0.0064855,0.0064855
73,2017.31,0.9539,0.38597,1.19336,0.9942,0.9922,0.99423,0.75099,1.03002,0.35253,1.34915,0.006436,0.006436,0.006436
74,2044.93,0.95998,0.38435,1.19763,0.99261,0.9922,0.99402,0.74475,1.03575,0.35224,1.35336,0.0063865,0.0063865,0.0063865
75,2072.32,0.95017,0.38161,1.18942,0.9961,0.9904,0.99418,0.7515,1.04426,0.35324,1.35824,0.006337,0.006337,0.006337
76,2099.87,0.95538,0.38365,1.18888,0.99509,0.991,0.99438,0.75113,1.02451,0.3463,1.34872,0.0062875,0.0062875,0.0062875
77,2127.23,0.94591,0.37982,1.19701,0.99569,0.9916,0.9942,0.74811,1.03223,0.35056,1.34891,0.006238,0.006238,0.006238
78,2154.67,0.95662,0.38426,1.1968,0.9946,0.9946,0.99426,0.73997,1.03607,0.35515,1.35116,0.0061885,0.0061885,0.0061885
